crate_name,input_data,output_data,task_category
async-stream-impl,"{""title"": ""Stream lines from an async file with error handling"", ""description"": ""A developer wants to read a text file asynchronously and process each line as it becomes available. The stream should yield each line as a `String` and propagate any I/O errors using the `Result` type."", ""code_context"": ""use async_stream::try_stream;\nuse futures_util::stream::StreamExt;\nuse tokio::fs::File;\nuse tokio::io::{self, AsyncBufReadExt, BufReader};""}","{""code"": ""fn file_lines(path: &str) -> impl Stream<Item = Result<String, std::io::Error>> {\n    try_stream! {\n        let file = tokio::fs::File::open(path).await?;\n        let reader = tokio::io::BufReader::new(file);\n        let mut lines = reader.lines();\n        while let Some(line) = lines.next_line().await? {\n            yield line;\n        }\n    }\n}""}",code_generation
async-stream-impl,"{""title"": ""Try stream for fetching multiple URLs"", ""description"": ""A developer needs to download the contents of several HTTP URLs concurrently. The stream should perform an async GET request for each URL and yield the response body as `bytes::Bytes`, propagating any request errors as `Result` items."", ""code_context"": ""use async_stream::try_stream;\nuse futures_util::stream::StreamExt;\nuse reqwest;\nuse bytes;""}","{""code"": ""fn fetch_urls(urls: Vec<String>) -> impl Stream<Item = Result<bytes::Bytes, reqwest::Error>> {\n    try_stream! {\n        for url in urls {\n            let resp = reqwest::get(&url).await?;\n            let bytes = resp.bytes().await?;\n            yield bytes;\n        }\n    }\n}""}",code_generation
async-stream-impl,"{""title"": ""Asynchronous factorial computation over a stream of numbers"", ""description"": ""A developer has a stream of `u64` values and wants to compute the factorial of each number asynchronously, yielding the results as they become ready."", ""code_context"": ""use async_stream::stream;\nuse futures_util::stream::StreamExt;\nuse futures_core::stream::Stream;""}","{""code"": ""fn factorial_stream<S>(input: S) -> impl Stream<Item = u64>\nwhere\n    S: Stream<Item = u64> + Unpin,\n{\n    stream! {\n        for await n in input {\n            let result = async move {\n                (1..=n).product()\n            }.await;\n            yield result;\n        }\n    }\n}""}",code_generation
async-stream-impl,"{""title"": ""Merge two streams by interleaving their items"", ""description"": ""A developer wants to combine two streams of `i32` values into a single stream that yields all items from the first stream, then all items from the second, and repeats this pattern indefinitely."", ""code_context"": ""use async_stream::stream;\nuse futures_util::stream::StreamExt;\nuse futures_core::stream::Stream;""}","{""code"": ""fn merge_streams<S1, S2>(s1: S1, s2: S2) -> impl Stream<Item = i32>\nwhere\n    S1: Stream<Item = i32> + Unpin,\n    S2: Stream<Item = i32> + Unpin,\n{\n    stream! {\n        loop {\n            for await v in s1 {\n                yield v;\n            }\n            for await v in s2 {\n                yield v;\n            }\n        }\n    }\n}""}",code_generation
lz4,"{""code_before"": ""pub fn check_error(code: LZ4FErrorCode) -> Result<usize, Error> {\n    unsafe {\n        if LZ4F_isError(code) != 0 {\n            let error_name = LZ4F_getErrorName(code);\n            return Err(Error::new(\n                ErrorKind::Other,\n                LZ4Error(\n                    str::from_utf8(CStr::from_ptr(error_name).to_bytes())\n                        .unwrap()\n                        .to_string(),\n                ),\n            ));\n        }\n        Ok(code as usize)\n    }\n}"", ""code_context"": ""use std::io::{Error, ErrorKind, Result};\nuse std::ffi::CStr;\nuse std::str;\nuse lz4_sys::*;\n\n#[derive(Debug)]\nstruct LZ4Error(String);\n""}","{""rationale"": ""Replaces the call to LZ4F_isError with a direct zero check on the error code. This removes a function call overhead, reducing CPU cycles per error check while preserving semantics because LZ4 error codes are non‑zero only on failure."", ""code_after"": ""pub fn check_error(code: LZ4FErrorCode) -> Result<usize, Error> {\n    unsafe {\n        if code != 0 {\n            let error_name = LZ4F_getErrorName(code);\n            return Err(Error::new(\n                ErrorKind::Other,\n                LZ4Error(\n                    str::from_utf8(CStr::from_ptr(error_name).to_bytes())\n                        .unwrap()\n                        .to_string(),\n                ),\n            ));\n        }\n        Ok(code as usize)\n    }\n}""}",code_optimization
lz4,"{""code_before"": ""let mut compressed: Vec<u8> = vec![0; (if prepend_size { compress_bound + 4 } else { compress_bound }) as usize];\n        let dec_size = compress_to_buffer(src, mode, prepend_size, &mut compressed)?;\n        compressed.truncate(dec_size as usize);\n        Ok(compressed)"", ""code_context"": ""use std::io::{Error, ErrorKind, Result};\nuse lz4_sys::*;\n\nenum CompressionMode {\n    HIGHCOMPRESSION(i32),\n    FAST(i32),\n    DEFAULT,\n}\n\nfn compress_to_buffer(src: &[u8], mode: Option<CompressionMode>, prepend_size: bool, buffer: &mut Vec<u8>) -> Result<usize> {\n    // placeholder implementation\n    Ok(0)\n}\n""}","{""rationale"": ""Allocates the buffer with the exact capacity needed and sets its length after compression, eliminating the intermediate zero‑filled allocation and the costly truncate operation. This reduces heap fragmentation and improves memory locality."", ""code_after"": ""let mut compressed = Vec::with_capacity(if prepend_size { compress_bound + 4 } else { compress_bound } as usize);\n        let dec_size = compress_to_buffer(src, mode, prepend_size, &mut compressed)?;\n        unsafe { compressed.set_len(dec_size as usize) };\n        Ok(compressed)""}",code_optimization
lz4,"{""code_before"": ""let mut buffer = vec![0u8; size];\n        let sz = decompress_to_buffer(src, uncompressed_size, &mut buffer)?;\n        buffer.truncate(sz);\n        Ok(buffer)"", ""code_context"": ""use std::io::{Error, ErrorKind, Result};\nuse lz4_sys::*;\n\nfn decompress_to_buffer(src: &[u8], uncompressed_size: Option<i32>, buffer: &mut Vec<u8>) -> Result<usize> {\n    // placeholder implementation\n    Ok(0)\n}\n""}","{""rationale"": ""Uses Vec::with_capacity and unsafe set_len to avoid initializing the buffer with zeros and the subsequent truncate. This cuts the number of memory writes and reduces allocation overhead, leading to faster decompression."", ""code_after"": ""let mut buffer = Vec::with_capacity(size);\n        let sz = decompress_to_buffer(src, uncompressed_size, &mut buffer)?;\n        unsafe { buffer.set_len(sz) };\n        Ok(buffer)""}",code_optimization
async-stream-impl,"{""code_context"": ""struct Data(String);"", ""code_to_test"": ""impl Data {\n    fn stream(&self) -> impl Stream<Item = &str> + '_ {\n        stream! {\n            yield &self.0[..];\n        }\n    }\n}"", ""test_context"": ""use async_stream::stream;\nuse futures_core::stream::Stream;\nuse futures_util::pin_mut;\nuse futures_util::stream::StreamExt;""}","{""test_cases"": [""#[tokio::test]\nasync fn borrow_self() {\n    let data = Data(\""hello\"".to_string());\n    let s = data.stream();\n    pin_mut!(s);\n    assert_eq!(Some(\""hello\""), s.next().await);\n}""]}",test_generation
async-stream-impl,"{""code_context"": ""use crate::yielder::Receiver;\nuse futures_core::{FusedStream, Stream};\nuse pin_project_lite::pin_project;\nuse std::future::Future;\nuse std::pin::Pin;\nuse std::task::{Context, Poll};\n\npin_project! {\n    #[doc(hidden)]\n    #[derive(Debug)]\n    pub struct AsyncStream<T, U> {\n        rx: Receiver<T>,\n        done: bool,\n        #[pin]\n        generator: U,\n    }\n}"", ""code_to_test"": ""impl<T, U> Stream for AsyncStream<T, U>\nwhere\n    U: Future<Output = ()>,\n{\n    type Item = T;\n\n    fn poll_next(self: Pin<&mut Self>, cx: &mut Context<'_>) -> Poll<Option<Self::Item>> {\n        let me = self.project();\n\n        if *me.done {\n            return Poll::Ready(None);\n        }\n\n        let mut dst = None;\n        let res = {\n            let _enter = me.rx.enter(&mut dst);\n            me.generator.poll(cx)\n        };\n\n        *me.done = res.is_ready();\n\n        if dst.is_some() {\n            return Poll::Ready(dst.take());\n        }\n\n        if *me.done {\n            Poll::Ready(None)\n        } else {\n            Poll::Pending\n        }\n    }\n}"", ""test_context"": ""use async_stream::stream;\nuse futures_util::stream::StreamExt;""}","{""test_cases"": [""#[tokio::test]\nasync fn yield_single_value() {\n    let s = stream! {\n        yield \""hello\"";\n    };\n\n    let values: Vec<_> = s.collect().await;\n\n    assert_eq!(1, values.len());\n    assert_eq!(\""hello\"", values[0]);\n}"", ""#[tokio::test]\nasync fn yield_multi_value() {\n    let s = stream! {\n        yield \""hello\"";\n        yield \""world\"";\n        yield \""dizzy\"";\n    };\n\n    let values: Vec<_> = s.collect().await;\n\n    assert_eq!(3, values.len());\n    assert_eq!(\""hello\"", values[0]);\n    assert_eq!(\""world\"", values[1]);\n    assert_eq!(\""dizzy\"", values[2]);\n}""]}",test_generation
async-stream-impl,"{""code_context"": ""use crate::yielder::Receiver;\nuse futures_core::{FusedStream, Stream};\nuse pin_project_lite::pin_project;\nuse std::future::Future;\nuse std::pin::Pin;\nuse std::task::{Context, Poll};\n\npin_project! {\n    #[doc(hidden)]\n    #[derive(Debug)]\n    pub struct AsyncStream<T, U> {\n        rx: Receiver<T>,\n        done: bool,\n        #[pin]\n        generator: U,\n    }\n}"", ""code_to_test"": ""impl<T, U> Stream for AsyncStream<T, U>\nwhere\n    U: Future<Output = ()>,\n{\n    type Item = T;\n\n    fn size_hint(&self) -> (usize, Option<usize>) {\n        if self.done {\n            (0, Some(0))\n        } else {\n            (0, None)\n        }\n    }\n}"", ""test_context"": ""use async_stream::stream;\nuse futures_util::stream::StreamExt;""}","{""test_cases"": [""#[tokio::test]\nasync fn test_size_hint() {\n    let s = stream! {\n        yield 1;\n        yield 2;\n    };\n    let (lower, upper) = s.size_hint();\n    assert_eq!(0, lower);\n    assert_eq!(None, upper);\n}""]}",test_generation
