crate_name,input_data,output_data,task_category,llm_validation_result
rutie-serde,"{""code"": ""impl<'a> DeserializeWrapper<&'a AnyObject> for RutieObject {\n    fn deserialize(data: &'a AnyObject) -> Result<RutieObject> {\n        Ok(RutieObject(data.clone()))\n    }\n}"", ""code_context"": ""use rutie::AnyObject;\nuse crate::Result;\n\npub struct RutieObject(pub AnyObject);\n\nuse crate::DeserializeWrapper;""}","{""docstring"": ""Deserialize a Rutie object from a Rutie AnyObject. Returns `RutieObject`.""}",docstring_generation,"```json
{
  ""Is_Answer_Correct"": false,
  ""Corrected"": ""/// Deserializes a Rutie `AnyObject` into a `RutieObject`.\n///\n/// Returns a `Result` containing the new `RutieObject`."",
  ""Reasoning"": ""The generated docstring has a few issues:\n1. **Accuracy**: It incorrectly states that the function returns `RutieObject`. The actual return type is `Result<RutieObject>`. While this specific implementation never fails, the function signature uses `Result`, and the documentation should accurately reflect the signature's contract.\n2. **Clarity/Conventions**: The phrasing \""Deserialize a Rutie object from a Rutie AnyObject\"" is slightly awkward. The standard convention is to use the third-person singular verb, e.g., \""Deserializes\"".\n3. **Conventions**: It fails to use markdown backticks for the `AnyObject` type name, which is a standard Rust documentation convention for code elements.\n\nThe corrected version addresses these points by rephrasing the summary line to be clearer and more conventional, using backticks for all type names, and accurately describing the return type as a `Result`.""
}
```"
libp2p-webtransport-websys,"{""code"": ""impl ConnectionInner {\n    async fn authenticate(\n        &mut self,\n        keypair: &Keypair,\n        remote_peer: Option<PeerId>,\n        certhashes: HashSet<Multihash<64>>, \n    ) -> Result<PeerId, Error> {\n        JsFuture::from(self.session.ready())\n            .await\n            .map_err(Error::from_js_value)?;\n\n        let stream = poll_fn(|cx| self.poll_create_bidirectional_stream(cx)).await?;\n        let mut noise = libp2p_noise::Config::new(keypair)?;\n\n        if !certhashes.is_empty() {\n            noise = noise.with_webtransport_certhashes(certhashes);\n        }\n\n        // We do not use `upgrade::apply_outbound` function because it uses\n        // `multistream_select` protocol, which is not used by WebTransport spec.\n        let info = noise.protocol_info().next().unwrap_or_default();\n        let (peer_id, _io) = noise.upgrade_outbound(stream, info).await?;\n\n        // TODO: This should be part libp2p-noise\n        if let Some(expected_peer_id) = remote_peer {\n            if peer_id != expected_peer_id {\n                return Err(Error::UnknownRemotePeerId);\n            }\n        }\n\n        Ok(peer_id)\n    }\n}"", ""code_context"": ""use std::collections::HashSet;\nuse libp2p_identity::{Keypair, PeerId};\nuse multihash::Multihash;\nuse wasm_bindgen_futures::JsFuture;\nuse futures::future::poll_fn;\nuse crate::{bindings::{WebTransport, WebTransportBidirectionalStream}, utils::{detach_promise, parse_reader_response, to_js_type}, Error, Stream};\nuse libp2p_noise;\nuse std::task::{Context, Poll};\nuse crate::fused_js_promise::FusedJsPromise;\nuse web_sys::ReadableStreamDefaultReader;\n\npub struct ConnectionInner {\n    session: WebTransport,\n    create_stream_promise: FusedJsPromise,\n    incoming_stream_promise: FusedJsPromise,\n    incoming_streams_reader: ReadableStreamDefaultReader,\n    closed: bool,\n}""}","{""docstring"": ""Authenticates with the server\n\nThis method runs the security handshake as described in the spec. It validates the certhashes and peer ID of the server.\n\n[1]: https://github.com/libp2p/specs/tree/master/webtransport#security-handshake""}",docstring_generation,"```json
{
  ""Is_Answer_Correct"": false,
  ""Corrected"": ""/// Authenticates the remote peer by performing a noise handshake.\n///\n/// This method runs the security handshake as described in the libp2p WebTransport spec [1].\n/// It opens a new bidirectional stream, performs the `libp2p-noise` handshake, and verifies\n/// the remote's identity against the provided `remote_peer` and `certhashes`.\n///\n/// # Parameters\n///\n/// * `keypair`: The local peer's identity `Keypair`.\n/// * `remote_peer`: The expected `PeerId` of the remote. If `Some`, the handshake will fail\n///   if the remote's `PeerId` does not match.\n/// * `certhashes`: A set of expected certificate hashes of the remote. The handshake will\n///   fail if the remote's certificate hash is not in this set.\n///\n/// # Returns\n///\n/// On success, returns the `PeerId` of the authenticated remote peer.\n///\n/// # Errors\n///\n/// This function will return an error if the handshake fails, the session is not ready,\n/// a stream cannot be opened, or if the remote peer's identity cannot be verified.\n///\n/// [1]: https://github.com/libp2p/specs/tree/master/webtransport#security-handshake"",
  ""Reasoning"": ""The generated docstring is accurate but incomplete. It correctly states that the function performs a security handshake and validates certificate hashes and the peer ID. However, it fails to follow standard Rust documentation conventions by omitting descriptions of the function's parameters, its return value, and the conditions under which it can return an error. The corrected docstring adds the standard `# Parameters`, `# Returns`, and `# Errors` sections, providing a complete and more useful description of the function's API.""
}
```"
ckb-bin,"{""code"": ""fn is_hex(hex: &str) -> Result<String, String> {\n    let tmp = hex.as_bytes();\n    if tmp.len() < 2 {\n        Err(\""Must be a 0x-prefixed hexadecimal string\"".to_string())\n    } else if tmp.len() & 1 != 0 {\n        Err(\""Hexadecimal strings must be of even length\"".to_string())\n    } else if tmp[..2] == b\""0x\""[..] {\n        for byte in &tmp[2..] {\n            match byte {\n                b'A'..=b'F' | b'a'..=b'f' | b'0'..=b'9' => continue,\n                invalid_char => {\n                    return Err(format!(\""Hex has invalid char: {invalid_char}\""));\n                }\n            }\n        }\n        Ok(hex.to_string())\n    } else {\n        Err(\""Must 0x-prefixed hexadecimal string\"".to_string())\n    }\n}"", ""code_context"": null}","{""docstring"": ""Check if a string is a valid hexadecimal string. The string must be 0x-prefixed, have even length, and contain only hexadecimal characters.""}",docstring_generation,ERROR: malformed node or string on line 1: <ast.Name object at 0x12c40bd50>
tokio-vsock,"{""code"": ""pub fn poll_accept_std(&self, cx: &mut Context<'_>) -> Poll<Result<(vsock::VsockStream, VsockAddr)>> {\n    loop {\n        let mut guard = ready!(self.inner.poll_read_ready(cx))?;\n        match guard.try_io(|inner| inner.get_ref().accept()) {\n            Ok(Ok((inner, addr))) => return Ok((inner, addr)).into(),\n            Ok(Err(ref e)) if e.kind() == std::io::ErrorKind::Interrupted => continue,\n            Ok(Err(e)) => return Err(e).into(),\n            Err(_would_block) => continue,\n        }\n    }\n}"", ""code_context"": ""use std::io::Result;\nuse std::task::{Context, Poll};\nuse futures::ready;\nuse tokio::io::unix::AsyncFd;\nuse crate::VsockAddr;\n\npub struct VsockListener {\n    inner: AsyncFd<vsock::VsockListener>,\n}\n\nimpl VsockListener {\n    fn new(listener: vsock::VsockListener) -> Result<Self> {\n        listener.set_nonblocking(true)?;\n        Ok(Self {\n            inner: AsyncFd::new(listener)?,\n        })\n    }\n}""}","{""summary"": ""Continuously polls the listener for an incoming connection, handling interruptions and would‑block cases.""}",code_summarization,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The summary is accurate and complete. The function's core logic is a loop that polls for readiness to accept a new connection using `poll_read_ready`. It then attempts the `accept` operation. The summary correctly points out that the loop handles transient errors like `Interrupted` and `WouldBlock` (spurious wakeups) by retrying, which is exactly what the `continue` statements do. The function only returns a `Poll` state upon successfully accepting a connection, encountering a non-transient error, or if the underlying resource is not yet ready (`Poll::Pending` via the `ready!` macro).""
}
```"
kv,"{""code"": ""impl<'a, 'b, K: Key<'a>, V: Value> Transaction<'a, 'b, K, V> {\n    /// Get the value associated with the specified key inside a transaction\n    pub fn get(&self, key: &K) -> Result<Option<V>, TransactionError<Error>> {\n        let v = self\n            .0\n            .get(key.to_raw_key().map_err(TransactionError::Abort)?)?;\n\n        match v {\n            None => Ok(None),\n            Some(x) => Ok(Some(V::from_raw_value(x).map_err(TransactionError::Abort)?)),\n        }\n    }\n}"", ""code_context"": ""use std::marker::PhantomData;\nuse sled::transaction::TransactionalTree;\nuse crate::{Error, Key, Value, TransactionError};\n\ntype TransactionError<E> = sled::transaction::ConflictableTransactionError<E>;\n\npub struct Transaction<'a, 'b, K: Key<'a>, V: Value>(\n    &'b TransactionalTree,\n    PhantomData<K>,\n    PhantomData<V>,\n    PhantomData<&'a ()>,\n);""}","{""summary"": ""Retrieves an optional value for a key within a transaction, converting sled errors into transaction errors.""}",code_summarization,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The summary is accurate and concise. It correctly identifies the function's primary purpose: retrieving an optional value (`Option<V>`) for a given key within a database transaction. It also correctly highlights the error handling, where errors from key/value conversions (`to_raw_key`, `from_raw_value`) and the underlying `sled` operation are mapped into the `TransactionError` type, which is an alias for a `sled` error type.""
}
```"
ckb-fixed-hash-core,"{""code"": ""impl ::std::fmt::Debug for H160 {\n    #[inline]\n    fn fmt(&self, f: &mut ::std::fmt::Formatter) -> ::std::fmt::Result {\n        write!(f, stringify!(H160))?;\n        write!(f, \"" ( [\"")?;\n        write!(f, \"" {:#04x}\"", self.0[0])?;\n        for chr in self.0[1..].iter() {\n            write!(f, \"", {:#04x}\"", chr)?;\n        }\n        write!(f, \"" ] )\"")\n    }\n}"", ""code_context"": ""pub struct H160(pub [u8; 20]);""}","{""summary"": ""Formats H160 for debugging by printing the struct name and each byte in hexadecimal.""}",code_summarization,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The summary is accurate and complete. The code implements the `Debug` trait for the `H160` struct. The `fmt` function first prints the struct name using `stringify!(H160)`, and then iterates through the inner 20-byte array (`self.0`), printing each byte formatted as a padded, prefixed hexadecimal string (e.g., `0x0a`) using the `{:#04x}` format specifier. The summary correctly captures these two key actions.""
}
```"
wgpu_text,"{""code"": ""impl<F, H> TextBrush<F, H>\nwhere\n    F: Font + Sync,\n    H: std::hash::BuildHasher,\n{\n    pub fn queue<'a, S, I>(&mut self, device: &wgpu::Device, queue: &wgpu::Queue, sections: I) -> Result<(), BrushError>\n    where\n        S: Into<std::borrow::Cow<'a, Section<'a>>>,\n        I: IntoIterator<Item = S>,\n    {\n        for s in sections {\n            self.inner.queue(s);\n        }\n        loop {\n            let brush_action = self.inner.process_queued(\n                |rect, data| self.pipeline.update_texture(rect, data, queue),\n                Vertex::to_vertex,\n            );\n            match brush_action {\n                Ok(action) => {\n                    match action {\n                        BrushAction::Draw(vertices) => {\n                            self.pipeline.update_vertex_buffer(vertices, device, queue);\n                        }\n                        BrushAction::ReDraw => {}\n                    }\n                    break;\n                }\n                Err(glyph_brush::BrushError::TextureTooSmall { suggested }) => {\n                    let max_dim = device.limits().max_texture_dimension_2d;\n                    let (width, height) = if suggested.0 > max_dim || suggested.1 > max_dim {\n                        (max_dim, max_dim)\n                    } else {\n                        suggested\n                    };\n                    self.pipeline.resize_texture(device, (width, height));\n                    self.inner.resize_texture(width, height);\n                }\n            }\n        }\n        Ok(())\n    }\n}"", ""code_context"": ""use glyph_brush::{self, BrushAction, Section, GlyphBrushBuilder, GlyphBrush, Extra, Font};\nuse wgpu::{self, Device, Queue};\n\npub struct TextBrush<F = FontArc, H = DefaultSectionHasher> {\n    inner: GlyphBrush<Vertex, Extra, F, H>,\n    pipeline: Pipeline,\n}\n\npub struct Pipeline;\nimpl Pipeline {\n    pub fn update_texture(&self, _rect: glyph_brush::Rectangle<u32>, _data: &[u8], _queue: &wgpu::Queue) {}\n    pub fn update_vertex_buffer(&self, _vertices: Vec<Vertex>, _device: &wgpu::Device, _queue: &wgpu::Queue) {}\n    pub fn resize_texture(&mut self, _device: &wgpu::Device, _size: (u32, u32)) {}\n}\n\n#[repr(C)]\n#[derive(Copy, Clone, bytemuck::Pod, bytemuck::Zeroable)]\npub struct Vertex;\nimpl Vertex {\n    pub fn to_vertex(_gv: glyph_brush::GlyphVertex) -> Vertex { Vertex }\n}\n\npub type FontArc = glyph_brush::ab_glyph::FontArc;\npub type DefaultSectionHasher = std::collections::hash_map::DefaultHasher;\n\npub enum BrushError {\n    TooBigCacheTexture(u32),\n}\n""}","{""explanation"": ""`queue` accepts a list of text sections, forwards each to the inner `GlyphBrush`, then repeatedly processes the queued glyphs. If the brush reports that the cache texture is too small, the method enlarges both the cache texture and the glyph brush to the suggested size. When processing succeeds it either draws new vertices or reuses existing ones, updating the GPU vertex buffer accordingly.""}",code_explanation,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The explanation is excellent. It is technically accurate, clear, and provides significant educational value.\n\n1.  **What it does**: It correctly states that the function queues text sections and then processes them.\n2.  **How/Why it works**: It accurately describes the core logic loop: it attempts to process the queue, and if the texture cache is too small, it resizes the texture and retries. This is a crucial pattern when using `glyph-brush` and the explanation captures it perfectly.\n3.  **Outcomes**: It correctly identifies the two successful outcomes from `process_queued` (`Draw` and `ReDraw`) and summarizes their effects concisely (\""draws new vertices or reuses existing ones, updating the GPU vertex buffer accordingly\"").\n\nThe explanation is a high-level summary, but it hits all the key points required to understand the function's purpose and flow without getting bogged down in minor details.""
}
```"
tree-sitter-loader,"{""code"": ""impl Loader {\n    pub fn new() -> Result<Self> {\n        let parser_lib_path = if let Ok(path) = env::var(\""TREE_SITTER_LIBDIR\"") {\n            PathBuf::from(path)\n        } else {\n            if cfg!(target_os = \""macos\"") {\n                let legacy_apple_path = etcetera::base_strategy::Apple::new()?\n                    .cache_dir()\n                    .join(\""tree-sitter\"");\n                if legacy_apple_path.exists() && legacy_apple_path.is_dir() {\n                    std::fs::remove_dir_all(legacy_apple_path)?;\n                }\n            }\n\n            etcetera::choose_base_strategy()?\\\n                .cache_dir()\n                .join(\""tree-sitter\"")\n                .join(\""lib\"")\n        };\n        Ok(Self::with_parser_lib_path(parser_lib_path))\n    }\n}"", ""code_context"": ""use std::env;\nuse std::path::PathBuf;\nuse anyhow::Result;\nuse etcetera;\n\npub struct Loader {\n    parser_lib_path: PathBuf,\n    // other fields omitted for brevity\n}\n\nimpl Loader {\n    pub fn with_parser_lib_path(parser_lib_path: PathBuf) -> Self {\n        Self {\n            parser_lib_path,\n            // other fields omitted for brevity\n        }\n    }\n}\n""}","{""explanation"": ""The `new` method creates a `Loader` instance. It first tries to read the `TREE_SITTER_LIBDIR` environment variable to locate the directory where compiled parsers are stored. If the variable is not set, it falls back to a platform‑specific cache directory obtained via the `etcetera` crate. On macOS it also removes a legacy cache directory to avoid conflicts. Finally it forwards the resolved path to `with_parser_lib_path` to build the `Loader` struct.""}",code_explanation,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The explanation is excellent. It is technically accurate, clear, and provides a good level of depth for understanding the code's purpose and logic.\n\n1. **Educational Value**: It clearly explains the function's goal (creating a `Loader`) and the steps involved, making it easy for a learner to follow.\n2. **Technical Accuracy**: All details are correct. It accurately describes checking the `TREE_SITTER_LIBDIR` environment variable, the fallback to the `etcetera` crate, the conditional logic for macOS, and the final construction via `with_parser_lib_path`.\n3. **Clarity**: The explanation is concise and well-structured, flowing logically from the primary path to the fallback and final creation.\n4. **Depth**: It explains both *what* the code does (finds a path and creates a `Loader`) and *why* it does it (the environment variable provides an override, the fallback ensures a default location, and the macOS code handles a legacy migration/cleanup).""
}
```"
sha1_smol,"{""code"": ""fn sha1_digest_round_x4(abcd: u32x4, work: u32x4, i: i8) -> u32x4 {\n    const K0V: u32x4 = u32x4(K0, K0, K0, K0);\n    const K1V: u32x4 = u32x4(K1, K1, K1, K1);\n    const K2V: u32x4 = u32x4(K2, K2, K2, K2);\n    const K3V: u32x4 = u32x4(K3, K3, K3, K3);\n    match i {\n        0 => sha1rnds4c(abcd, work + K0V),\n        1 => sha1rnds4p(abcd, work + K1V),\n        2 => sha1rnds4m(abcd, work + K2V),\n        3 => sha1rnds4p(abcd, work + K3V),\n        _ => panic!(\""unknown icosaround index\""),\n    }\n}"", ""code_context"": ""const K0: u32 = 0x5A827999u32;\nconst K1: u32 = 0x6ED9EBA1u32;\nconst K2: u32 = 0x8F1BBCDCu32;\nconst K3: u32 = 0xCA62C1D6u32;\n\n#[derive(Clone, Copy)]\npub struct u32x4(pub u32, pub u32, pub u32, pub u32);\n\nfn sha1rnds4c(abcd: u32x4, msg: u32x4) -> u32x4 { /* implementation omitted for brevity */ unimplemented!() }\nfn sha1rnds4p(abcd: u32x4, msg: u32x4) -> u32x4 { /* implementation omitted for brevity */ unimplemented!() }\nfn sha1rnds4m(abcd: u32x4, msg: u32x4) -> u32x4 { /* implementation omitted for brevity */ unimplemented!() }""}","{""explanation"": ""`sha1_digest_round_x4` selects the appropriate round function for a group of four SHA‑1 operations based on the round index and adds the round constant vector before delegating to the specific implementation.""}",code_explanation,"```json
{
  ""Is_Answer_Correct"": true,
  ""Corrected"": """",
  ""Reasoning"": ""The explanation is excellent. It is technically accurate, clear, and provides good educational value.\n\n1.  **Educational Value**: It helps a learner understand the function's role as a dispatcher in a larger algorithm (SHA-1), which is a common pattern in performance-oriented code.\n2.  **Technical Accuracy**: The explanation is perfectly accurate. It correctly identifies that the `match` statement selects a function based on the `i` (round index), that a constant vector is added (`work + K_V`), and that the `x4` signifies parallel processing of four operations.\n3.  **Clarity**: The sentence is well-structured and easy to understand.\n4.  **Depth**: It explains both *what* the code does (selects a function, adds a constant) and *why* (based on the round index for a group of SHA-1 operations), which is the appropriate level of detail for this function.""
}
```"
polars-testing,"{""code"": ""fn __placeholder__(left: &DataFrame, right: &DataFrame, check_dtypes: bool, check_column_order: bool) -> PolarsResult<()> {\n    // Short‑circuit if the same reference\n    if std::ptr::eq(left, right) {\n        return Ok(());\n    }\n\n    // Verify schema according to the requested checks\n    assert_dataframe_schema_equal(left, right, check_dtypes, check_column_order)?;\n\n    // Height must match\n    if left.height() != right.height() {\n        return Err(polars_err!(\n            assertion_error = \""DataFrames\"",\n            \""height (row count) mismatch\"",\n            left.height(),\n            right.height()\n        ));\n    }\n\n    Ok(())\n}"", ""code_context"": ""use polars_core::prelude::*;\nuse polars_testing::asserts::assert_dataframe_schema_equal;\nuse polars_testing::asserts::DataFrameEqualOptions;\n""}","{""function_name"": ""assert_dataframe_schema_consistent""}",function_naming,"```json
{
  ""Is_Answer_Correct"": false,
  ""Corrected"": ""assert_dataframe_schema_and_height_equal"",
  ""Reasoning"": ""The suggested name `assert_dataframe_schema_consistent` is semantically inaccurate because the function's responsibility extends beyond just the schema. A significant part of its logic is to assert that the heights (number of rows) of the two DataFrames are equal. The suggested name completely omits this crucial check, which could mislead a developer into thinking the function only compares column names and types. The corrected name, `assert_dataframe_schema_and_height_equal`, is explicit and unambiguous. It accurately describes the function's dual role: asserting equality of both the schema and the height, thus improving clarity and preventing incorrect assumptions about its behavior.""
}
```"
